 step      Ekin           Epot            Etot        temp
=====  ============  ==============  ==============  ======
    0  0.0068371836  -74.9647058813  -74.9578686977  479.78
    1  0.0068371836  -74.9643991073  -74.9575619237  479.78
    2  0.0040199647  -74.9643430909  -74.9603231262  282.09
    3  0.0042861328  -74.9646209315  -74.9603347987  300.77
    4  0.0046437402  -74.9650038445  -74.9603601044  325.86
    5  0.0047401383  -74.9651220709  -74.9603819326  332.63
    6  0.0043571575  -74.9647428006  -74.9603856431  305.75
    7  0.0035623932  -74.9639291042  -74.9603667110  249.98
    8  0.0026632554  -74.9629931995  -74.9603299441  186.89
    9  0.0020359877  -74.9623214735  -74.9602854858  142.87
   10  0.0019482823  -74.9621934648  -74.9602451825  136.72
   11  0.0024471768  -74.9626663977  -74.9602192209  171.72
   12  0.0033341372  -74.9635464546  -74.9602123174  233.96
   13  0.0042476846  -74.9644684610  -74.9602207763  298.07
   14  0.0048302992  -74.9650634028  -74.9602331036  338.95
   15  0.0049093053  -74.9651454290  -74.9602361237  344.50
   16  0.0045975199  -74.9648222854  -74.9602247654  322.62
   17  0.0042270598  -74.9644350133  -74.9602079535  296.62
   18  0.0041199766  -74.9643223118  -74.9602023353  289.11
   19  0.0043446545  -74.9645613063  -74.9602166519  304.87
   20  0.0046623146  -74.9649050699  -74.9602427553  327.17
   21  0.0047206789  -74.9649837628  -74.9602630840  331.26
   22  0.0043253725  -74.9645898080  -74.9602644355  303.52
   23  0.0035723229  -74.9638165824  -74.9602442594  250.68
   24  0.0027797511  -74.9629884559  -74.9602087048  195.06
   25  0.0023098654  -74.9624783540  -74.9601684887  162.09
   26  0.0023969909  -74.9625325268  -74.9601355358  168.20
   27  0.0030440823  -74.9631637681  -74.9601196858  213.61
   28  0.0040107552  -74.9641354953  -74.9601247402  281.44
   29  0.0049076196  -74.9650529360  -74.9601453164  344.38
   30  0.0053714229  -74.9655390222  -74.9601675993  376.92
   31  0.0052541994  -74.9654307589  -74.9601765595  368.70
   32  0.0047219857  -74.9648893734  -74.9601673877  331.35
   33  0.0041637009  -74.9643150261  -74.9601513252  292.18
   34  0.0039253481  -74.9640717738  -74.9601464257  275.45
   35  0.0040566321  -74.9642164361  -74.9601598041  284.66
   36  0.0042903718  -74.9644713942  -74.9601810224  301.06
   37  0.0042743720  -74.9644671699  -74.9601927979  299.94
   38  0.0038440640  -74.9640284281  -74.9601843641  269.75
   39  0.0031260643  -74.9632816156  -74.9601555514  219.36
   40  0.0024456112  -74.9625594915  -74.9601138803  171.61
   41  0.0021443477  -74.9622150118  -74.9600706641  150.47
   42  0.0024177099  -74.9624556018  -74.9600378919  169.66
   43  0.0032224404  -74.9632472379  -74.9600247975  226.13
   44  0.0042797677  -74.9643135671  -74.9600337994  300.32
   45  0.0051856552  -74.9652433994  -74.9600577442  363.89
   46  0.0055935820  -74.9656752055  -74.9600816235  392.51
   47  0.0053974331  -74.9654882144  -74.9600907813  378.75
   48  0.0048071121  -74.9648892678  -74.9600821557  337.33
   49  0.0042290740  -74.9642972810  -74.9600682070  296.76
   50  0.0039926132  -74.9640585818  -74.9600659686  280.17
   51  0.0041216349  -74.9642020259  -74.9600803910  289.22
   52  0.0043481338  -74.9644486724  -74.9601005387  305.12
   53  0.0043496051  -74.9644606197  -74.9601110147  305.22
   54  0.0039945345  -74.9640980327  -74.9601034982  280.31
   55  0.0034164833  -74.9634956936  -74.9600792104  239.74
   56  0.0029139031  -74.9629597229  -74.9600458198  204.48
   57  0.0027798223  -74.9627938108  -74.9600139885  195.07
   58  0.0031562031  -74.9631506885  -74.9599944854  221.48
   59  0.0039592728  -74.9639540466  -74.9599947738  277.83
   60  0.0048985654  -74.9649137133  -74.9600151479  343.74
   61  0.0055923443  -74.9656389196  -74.9600465753  392.43
   62  0.0057457181  -74.9658191797  -74.9600734616  403.19
   63  0.0053153857  -74.9653979784  -74.9600825928  372.99
   64  0.0045532742  -74.9646265240  -74.9600732498  319.51
   65  0.0038616691  -74.9639198997  -74.9600582307  270.98
   66  0.0035318212  -74.9635837595  -74.9600519382  247.84
   67  0.0035631651  -74.9636202975  -74.9600571324  250.04
   68  0.0037091316  -74.9637734644  -74.9600643329  260.28
   69  0.0036955947  -74.9637573958  -74.9600618011  259.33
   70  0.0034219683  -74.9634659050  -74.9600439367  240.13
   71  0.0030116139  -74.9630244590  -74.9600128450  211.33
   72  0.0027202843  -74.9626963637  -74.9599760794  190.89
   73  0.0027879861  -74.9627318006  -74.9599438145  195.64
   74  0.0033112839  -74.9632372217  -74.9599259377  232.36
   75  0.0041805457  -74.9641090920  -74.9599285462  293.36
   76  0.0051071777  -74.9650576208  -74.9599504431  358.38
   77  0.0057393736  -74.9657211887  -74.9599818151  402.74
   78  0.0058288232  -74.9658365745  -74.9600077513  409.02
   79  0.0053720973  -74.9653889487  -74.9600168514  376.97
   80  0.0046302361  -74.9646398063  -74.9600095702  324.91
   81  0.0039810403  -74.9639787030  -74.9599976627  279.36
   82  0.0036854144  -74.9636787537  -74.9599933394  258.61
   83  0.0037411754  -74.9637400138  -74.9599988384  262.53
   84  0.0039333747  -74.9639401254  -74.9600067507  276.01
   85  0.0040214351  -74.9640295256  -74.9600080905  282.19
   86  0.0039057725  -74.9639043669  -74.9599985944  274.08
   87  0.0036706771  -74.9636506041  -74.9599799270  257.58
   88  0.0035114555  -74.9634695522  -74.9599580967  246.41
   89  0.0036126851  -74.9635539016  -74.9599412165  253.51
   90  0.0040417069  -74.9639786087  -74.9599369018  283.62
   91  0.0046981907  -74.9646473840  -74.9599491933  329.68
   92  0.0053403027  -74.9653160688  -74.9599757661  374.74
   93  0.0056845038  -74.9656918138  -74.9600073100  398.89
   94  0.0055442977  -74.9655752892  -74.9600309915  389.06
   95  0.0049408309  -74.9649783014  -74.9600374705  346.71
   96  0.0041101608  -74.9641370646  -74.9600269039  288.42
   97  0.0033814354  -74.9633896729  -74.9600082375  237.28
   98  0.0029942357  -74.9629859406  -74.9599917049  210.11
   99  0.0029794002  -74.9629608409  -74.9599814407  209.07
  100  0.0031807947  -74.9631551400  -74.9599743453  223.20
  101  0.0033886295  -74.9633531104  -74.9599644809  237.79
  102  0.0034810267  -74.9634291608  -74.9599481341  244.27
  103  0.0034837637  -74.9634099497  -74.9599261860  244.46
  104  0.0035301667  -74.9634338142  -74.9599036476  247.72
  105  0.0037628420  -74.9636504476  -74.9598876057  264.05
  106  0.0042359181  -74.9641204238  -74.9598845057  297.24
  107  0.0048641723  -74.9647614449  -74.9598972726  341.33
  108  0.0054427479  -74.9653658426  -74.9599230946  381.93
  109  0.0057337042  -74.9656870135  -74.9599533093  402.35
  110  0.0055854401  -74.9655620373  -74.9599765972  391.94
  111  0.0050257755  -74.9650105099  -74.9599847344  352.67
  112  0.0042681679  -74.9642454977  -74.9599773297  299.51
  113  0.0036122943  -74.9635739547  -74.9599616604  253.48
  114  0.0032906522  -74.9632380450  -74.9599473928  230.91
  115  0.0033553777  -74.9632957605  -74.9599403828  235.45
  116  0.0036740400  -74.9636141172  -74.9599400773  257.82
  117  0.0040309367  -74.9639725585  -74.9599416218  282.86
  118  0.0042615357  -74.9642018266  -74.9599402910  299.04
  119  0.0043334197  -74.9642681791  -74.9599347594  304.09
  120  0.0043356746  -74.9642632743  -74.9599275998  304.24
  121  0.0044001689  -74.9643239134  -74.9599237445  308.77
  122  0.0046082618  -74.9645364070  -74.9599281452  323.37
  123  0.0049310576  -74.9648743865  -74.9599433289  346.02
  124  0.0052292596  -74.9651967108  -74.9599674512  366.95
  125  0.0053138071  -74.9653075652  -74.9599937581  372.88
  126  0.0050439443  -74.9650564034  -74.9600124591  353.94
  127  0.0044183686  -74.9644334041  -74.9600150355  310.05
  128  0.0036073106  -74.9636064316  -74.9599991210  253.13
  129  0.0028929773  -74.9628636196  -74.9599706423  203.01
  130  0.0025359228  -74.9624767344  -74.9599408116  177.95
  131  0.0026394299  -74.9625586962  -74.9599192664  185.21
  132  0.0030981409  -74.9630066326  -74.9599084917  217.40
  133  0.0036719567  -74.9635761608  -74.9599042042  257.67
  134  0.0041354833  -74.9640360610  -74.9599005777  290.20
  135  0.0043943354  -74.9642892327  -74.9598948974  308.36
  136  0.0045007309  -74.9643893217  -74.9598885908  315.83
  137  0.0045821974  -74.9644678138  -74.9598856164  321.54
  138  0.0047427303  -74.9646328639  -74.9598901336  332.81
  139  0.0049922148  -74.9648965717  -74.9599043569  350.31
  140  0.0052333792  -74.9651602686  -74.9599268894  367.24
  141  0.0053084954  -74.9652605637  -74.9599520683  372.51
  142  0.0050862012  -74.9650573492  -74.9599711480  356.91
  143  0.0045512468  -74.9645270450  -74.9599757982  319.37
  144  0.0038495027  -74.9638124874  -74.9599629846  270.13
  145  0.0032479877  -74.9631862680  -74.9599382802  227.92
  146  0.0030086690  -74.9629225953  -74.9599139263  211.13
  147  0.0032380745  -74.9631392906  -74.9599012160  227.22
  148  0.0038152579  -74.9637183076  -74.9599030497  267.73
  149  0.0044638215  -74.9643775381  -74.9599137166  313.24
  150  0.0049197838  -74.9648449212  -74.9599251374  345.23
  151  0.0050692225  -74.9650017689  -74.9599325463  355.72
  152  0.0049733892  -74.9649092683  -74.9599358791  348.99
  153  0.0047937795  -74.9647320218  -74.9599382423  336.39
  154  0.0046820333  -74.9646257550  -74.9599437217  328.55
  155  0.0046947843  -74.9646500976  -74.9599553133  329.44
  156  0.0047657909  -74.9647387083  -74.9599729174  334.43
  157  0.0047426091  -74.9647345499  -74.9599919408  332.80
  158  0.0044751042  -74.9644788906  -74.9600037865  314.03
  159  0.0039212621  -74.9639206838  -74.9599994217  275.16
  160  0.0032143259  -74.9631896922  -74.9599753663  225.56
  161  0.0026338894  -74.9625721128  -74.9599382234  184.83
  162  0.0024684477  -74.9623710570  -74.9599026093  173.22
  163  0.0028386132  -74.9627206331  -74.9598820199  199.19
  164  0.0036043740  -74.9634843880  -74.9598800140  252.93
  165  0.0044423695  -74.9643324034  -74.9598900338  311.73
  166  0.0050390816  -74.9649416634  -74.9599025818  353.60
  167  0.0052510953  -74.9651627044  -74.9599116092  368.48
  168  0.0051386452  -74.9650547257  -74.9599160805  360.59
  169  0.0048863420  -74.9648048097  -74.9599184677  342.89
  170  0.0046824300  -74.9646050862  -74.9599226561  328.58
  171  0.0046220246  -74.9645539832  -74.9599319586  324.34
  172  0.0046689706  -74.9646160571  -74.9599470866  327.63
  173  0.0046850041  -74.9646494715  -74.9599644674  328.76
  174  0.0045157379  -74.9644920602  -74.9599763222  316.88
  175  0.0041008739  -74.9640748651  -74.9599739911  287.77
  176  0.0035505310  -74.9635046947  -74.9599541637  249.15
  177  0.0031229832  -74.9630468175  -74.9599238344  219.15
  178  0.0030853776  -74.9629832910  -74.9598979134  216.51
  179  0.0035324719  -74.9634216547  -74.9598891828  247.88
  180  0.0043009181  -74.9642004308  -74.9598995127  301.81
  181  0.0050602532  -74.9649810474  -74.9599207943  355.09
  182  0.0055094878  -74.9654521352  -74.9599426474  386.61
  183  0.0055292929  -74.9654877266  -74.9599584337  388.00
  184  0.0052061084  -74.9651726418  -74.9599665334  365.32
  185  0.0047488301  -74.9647179058  -74.9599690757  333.24
  186  0.0043674230  -74.9643375863  -74.9599701633  306.47
  187  0.0041744307  -74.9641482883  -74.9599738576  292.93
  188  0.0041431980  -74.9641250070  -74.9599818090  290.74
  189  0.0041346520  -74.9641258546  -74.9599912026  290.14
  190  0.0039856916  -74.9639803845  -74.9599946929  279.68
  191  0.0036258657  -74.9636098479  -74.9599839822  254.44
  192  0.0031589310  -74.9631153428  -74.9599564117  221.67
  193  0.0028398736  -74.9627597546  -74.9599198809  199.28
  194  0.0029298863  -74.9628199443  -74.9598900580  205.60
  195  0.0035094108  -74.9633894065  -74.9598799956  246.26
  196  0.0043921150  -74.9642833653  -74.9598912503  308.20
  197  0.0052226954  -74.9651375417  -74.9599148463  366.49
  198  0.0056831200  -74.9656222993  -74.9599391793  398.80
  199  0.0056529135  -74.9656093617  -74.9599564482  396.68
  200  0.0052357111  -74.9652000518  -74.9599643407  367.40
  201  0.0046710690  -74.9646359565  -74.9599648875  327.78
  202  0.0042036551  -74.9641662437  -74.9599625886  294.98
  203  0.0039753014  -74.9639375806  -74.9599622792  278.96
  204  0.0039765217  -74.9639431601  -74.9599666384  279.04
